FOLDER,IN_FILE,CHANNEL,OFFSET,DURATION,DATE,TIME,HOUR,NDSI,ACI

"Black Bear 01.10-01.12/Data","S4A04633_20180110_190002.wav",0,0.000,3598.000,"2018-01-10","19:00:02.000",19,-0.388697,155.563829

"Black Bear 01.10-01.12/Data","S4A04633_20180110_190002.wav",1,0.000,3598.000,"2018-01-10","19:00:02.000",19,-0.604209,148.780391

"Black Bear 01.10-01.12/Data","S4A04633_20180111_000000.wav",0,0.000,3600.000,"2018-01-11","00:00:00.000",0,0.446980,152.408595

"Black Bear 01.10-01.12/Data","S4A04633_20180111_060000.wav",0,0.000,3600.000,"2018-01-11","06:00:00.000",6,-0.741490,150.707100

"Black Bear 01.10-01.12/Data","S4A04633_20180111_070002.wav",0,0.000,3598.000,"2018-01-11","07:00:02.000",7,-0.700965,151.446620

"Black Bear 01.10-01.12/Data","S4A04633_20180111_060000.wav",1,0.000,3600.000,"2018-01-11","06:00:00.000",6,-0.896508,151.213310

"Black Bear 01.10-01.12/Data","S4A04633_20180110_180000.wav",0,0.000,3600.000,"2018-01-10","18:00:00.000",18,-0.547121,150.921483

"Black Bear 01.10-01.12/Data","S4A04633_20180111_030000.wav",0,0.000,3600.000,"2018-01-11","03:00:00.000",3,0.359706,150.708916

"Black Bear 01.10-01.12/Data","S4A04633_20180111_000000.wav",1,0.000,3600.000,"2018-01-11","00:00:00.000",0,0.395979,154.551546

"Black Bear 01.10-01.12/Data","S4A04633_20180110_180000.wav",1,0.000,3600.000,"2018-01-10","18:00:00.000",18,-0.817878,151.582773

"Black Bear 01.10-01.12/Data","S4A04633_20180111_030000.wav",1,0.000,3600.000,"2018-01-11","03:00:00.000",3,0.343859,150.469122

"Black Bear 01.10-01.12/Data","S4A04633_20180111_070002.wav",1,0.000,3598.000,"2018-01-11","07:00:02.000",7,-0.896105,152.536301

"Black Bear 01.10-01.12/Data","S4A04633_20180110_160000.wav",0,0.000,3600.000,"2018-01-10","16:00:00.000",16,-0.507378,154.133648

"Black Bear 01.10-01.12/Data","S4A04633_20180110_160000.wav",1,0.000,3600.000,"2018-01-10","16:00:00.000",16,-0.644343,157.383335

"Black Bear 01.10-01.12/Data","S4A04633_20180111_190002.wav",0,0.000,3598.000,"2018-01-11","19:00:02.000",19,-0.121669,148.838479

"Black Bear 01.10-01.12/Data","S4A04633_20180111_190002.wav",1,0.000,3598.000,"2018-01-11","19:00:02.000",19,-0.136777,147.729221

"Black Bear 01.10-01.12/Data","S4A04633_20180111_160000.wav",0,0.000,3600.000,"2018-01-11","16:00:00.000",16,-0.840926,152.787520

"Black Bear 01.10-01.12/Data","S4A04633_20180111_160000.wav",1,0.000,3600.000,"2018-01-11","16:00:00.000",16,-0.729725,153.167905

"Black Bear 01.10-01.12/Data","S4A04633_20180111_090000.wav",0,0.000,3600.000,"2018-01-11","09:00:00.000",9,-0.169835,153.109278

"Black Bear 01.10-01.12/Data","S4A04633_20180112_000000.wav",0,0.000,3600.000,"2018-01-12","00:00:00.000",0,0.182566,150.448707

"Black Bear 01.10-01.12/Data","S4A04633_20180111_130000.wav",0,0.000,3600.000,"2018-01-11","13:00:00.000",13,-0.348365,149.511096

"Black Bear 01.10-01.12/Data","S4A04633_20180111_090000.wav",1,0.000,3600.000,"2018-01-11","09:00:00.000",9,-0.268994,154.794636

"Black Bear 01.10-01.12/Data","S4A04633_20180112_000000.wav",1,0.000,3600.000,"2018-01-12","00:00:00.000",0,-0.001390,150.168865

"Black Bear 01.10-01.12/Data","S4A04633_20180111_130000.wav",1,0.000,3600.000,"2018-01-11","13:00:00.000",13,0.485134,150.449464

"Black Bear 01.10-01.12/Data","S4A04633_20180112_030000.wav",0,0.000,3600.000,"2018-01-12","03:00:00.000",3,0.424260,149.869249

"Black Bear 01.10-01.12/Data","S4A04633_20180112_030000.wav",1,0.000,3600.000,"2018-01-12","03:00:00.000",3,0.152965,149.642864

"Black Bear 01.10-01.12/Data","S4A04633_20180111_180000.wav",0,0.000,3600.000,"2018-01-11","18:00:00.000",18,-0.536794,146.982617

"Black Bear 01.10-01.12/Data","S4A04633_20180111_180000.wav",1,0.000,3600.000,"2018-01-11","18:00:00.000",18,-0.395289,146.271383

"Black Bear 01.10-01.12/Data","S4A04633_20180112_070002.wav",0,0.000,3598.000,"2018-01-12","07:00:02.000",7,-0.812099,148.446768

"Black Bear 01.10-01.12/Data","S4A04633_20180112_070002.wav",1,0.000,3598.000,"2018-01-12","07:00:02.000",7,-0.707486,148.257064

"Black Bear 01.10-01.12/Data","S4A04633_20180112_060000.wav",0,0.000,3600.000,"2018-01-12","06:00:00.000",6,-0.881940,150.054666

"Black Bear 01.10-01.12/Data","S4A04633_20180112_060000.wav",1,0.000,3600.000,"2018-01-12","06:00:00.000",6,-0.838443,149.963570

"Black Bear 01.10-01.12/Data","S4A04633_20180112_130000.wav",0,0.000,3600.000,"2018-01-12","13:00:00.000",13,-0.305696,150.885623

"Black Bear 01.10-01.12/Data","S4A04633_20180112_160000.wav",0,0.000,3600.000,"2018-01-12","16:00:00.000",16,-0.705488,153.132393

"Black Bear 01.10-01.12/Data","S4A04633_20180112_160000.wav",1,0.000,3600.000,"2018-01-12","16:00:00.000",16,-0.782701,154.958786

"Black Bear 01.10-01.12/Data","S4A04633_20180112_130000.wav",1,0.000,3600.000,"2018-01-12","13:00:00.000",13,-0.411282,153.103778

"Black Bear 01.10-01.12/Data","S4A04633_20180112_090000.wav",0,0.000,3600.000,"2018-01-12","09:00:00.000",9,-0.441289,151.437746

"Black Bear 01.10-01.12/Data","S4A04633_20180112_090000.wav",1,0.000,3600.000,"2018-01-12","09:00:00.000",9,-0.262442,151.854726

"Black Bear 10.07-10.16/Data","S4A04633_20171007_160000.wav",0,0.000,3600.000,"2017-10-07","16:00:00.000",16,0.149207,151.390890

"Black Bear 10.07-10.16/Data","S4A04633_20171007_160000.wav",1,0.000,3600.000,"2017-10-07","16:00:00.000",16,0.118654,152.559661

"Black Bear 10.07-10.16/Data","S4A04633_20171007_130000.wav",0,0.000,3600.000,"2017-10-07","13:00:00.000",13,0.751898,145.818400

"Black Bear 10.07-10.16/Data","S4A04633_20171007_130000.wav",1,0.000,3600.000,"2017-10-07","13:00:00.000",13,0.743494,148.073267

"Black Bear 10.07-10.16/Data","S4A04633_20171007_190002.wav",0,0.000,3598.000,"2017-10-07","19:00:02.000",19,-0.228524,151.263989

"Black Bear 10.07-10.16/Data","S4A04633_20171007_190002.wav",1,0.000,3598.000,"2017-10-07","19:00:02.000",19,-0.080260,150.716457

